online user,# Spark workers,number of VMs,size of data,Amount of memory of workers,# cores of workers,total memory of VMs/local machine,#cores of VMs,think time,type of ML task,on-prem,Ave response time
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,53
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.9
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.9
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.9
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.9
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.8
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.8
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.8
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.8
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.8
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.8
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.7
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.6
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.5
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.4
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.3
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.2
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
3,8,2,100 MB,80 G,32,,32,30,MLP,0,52.1
